English,Chinese,Pinyin
I want to do the recycling.,我想做回收。,wǒ xiǎng zuò huíshōu 。
I want to leave.,我想离开。,wǒ xiǎng líkāi 。
I want to live in a healthy environment.,我想生活在一个健康的环境中。,wǒ xiǎng shēnghuó zài yīgè jiànkāng de huánjìng zhōng 。
I want to pay today.,我今天想付款。,wǒ jīntiān xiǎng fùkuǎn 。
I want to see the island by boat.,我想乘船去看这个岛。,wǒ xiǎng chéngchuán qù kàn zhège dǎo 。
I want to stay here.,我想留在这里。,wǒ xiǎng liúzài zhèlǐ 。
I want to take a tour of the island by boat.,我想乘船环岛游。,wǒ xiǎng chéngchuán huándǎoyóu 。
I want to take another class.,我想再上一堂课。,wǒ xiǎng zài shàng yītángkè 。
I want to take the ski classes in the mountains.,我想参加山上的滑雪课程。,wǒ xiǎng cānjiā shānshàng de huáxuě kèchéng 。
I want to try them on.,我想试穿一下。,wǒ xiǎng shìchuān yīxià 。
I want to update the plan right away.,我想立即更新计划。,wǒ xiǎng lìjí gēngxīn jìhuà 。
I want.,我想。,wǒ xiǎng 。
I wanted to buy the tickets last month.,上个月我就想买票了。,shànggèyuè wǒ jiù xiǎng mǎipiào le 。
I wanted to claim the luggage.,我想领取行李。,wǒ xiǎng lǐngqǔ xíngli 。
I wanted to come to Sicily for a cruise.,我想去西西里岛坐游轮。,wǒ xiǎng qù xīxīlǐdǎo zuò yóulún 。
I wanted to make a withdrawal.,我想提款。,wǒ xiǎng tíkuǎn 。
I wanted to take a cruise and go to Sicily.,我想乘游轮去西西里岛。,wǒ xiǎng chéng yóulún qù xīxīlǐdǎo 。
I was about to call the 800 number.,我正要拨打800号码。,wǒ zhèngyào bōdǎ bālínglíng hàomǎ 。
I was about to do the grocery shopping.,我正要去杂货店买东西。,wǒ zhèngyào qù záhuòdiàn mǎi dōngxi 。
I was about to file the report.,我正准备提交报告。,wǒ zhèng zhǔnbèi tíjiāo bàogào 。
I was about to make a withdrawal.,我正准备提款。,wǒ zhèng zhǔnbèi tíkuǎn 。
I was about to take a shower.,我正准备去洗澡。,wǒ zhèng zhǔnbèi qù xǐzǎo 。
I was about to take a trip.,我正准备去旅行。,wǒ zhèng zhǔnbèi qù lǚxíng 。
I was there a short time ago.,不久前我去过那里。,bùjiǔqián wǒ qùguò nàli 。
I was thinking that I prefer cross country skiing.,我想我更喜欢越野滑雪。,wǒ xiǎng wǒ gēng xǐhuan yuèyě huáxuě 。
I was thinking that they accept credit cards.,我以为他们接受信用卡。,wǒ yǐwéi tāmen jiēshòu xìnyòngkǎ 。
I was tired.,我累了。,wǒlěi le 。
I was worried for you.,我很担心你。,wǒ hěn dānxīn nǐ 。
I wasn’t in a good mood.,我心情不太好。,wǒ xīnqíng bùtàihǎo 。
I went on a vacation to a farm.,我去农场度假。,wǒ qù nóngchǎng dùjià 。
I went there directly.,我直接去了那里。,wǒ zhíjiē qù le nàli 。
I went to Sicily by ferryboat the last time.,上次我乘渡船去西西里岛。,shàngcì wǒ chéng dùchuán qù xīxīlǐdǎo 。
I went to the restaurant with the beautiful view.,我去了风景优美的餐厅。,wǒ qù le fēngjǐngyōuměi de cāntīng 。
I went to Venice yesterday with my husband.,我昨天和我丈夫去了威尼斯。,wǒ zuótiān hé wǒ zhàngfu qù le wēinísī 。
I will arrive at the same time.,我会同时到达。,wǒhuì tóngshí dàodá 。
I will arrive late.,我会迟到。,wǒhuì chídào 。
I will arrive later.,我稍后到达。,wǒ shāohòu dàodá 。
I will arrive on time.,我会准时到达。,wǒhuì zhǔnshídàodá 。
I will be there as soon as possible.,我会尽快赶到。,wǒhuì jìnkuài gǎndào 。
I will be there right away.,我马上就到。,wǒ mǎshàng jiù dào 。
I will bring home this striped shirt.,我会把这件条纹衬衫带回家。,wǒhuì bǎ zhèjiàn tiáowén chènshān dàihuíjiā 。
I will bring home with me very beautiful memories.,我会把非常美好的回忆带回家。,wǒhuì bǎ fēicháng měihǎo de huíyì dàihuíjiā 。
I will call a taxi for you as soon as possible.,我会尽快为您叫一辆出租车。,wǒhuì jìnkuài wéi nín jiào yīliàng chūzūchē 。
I will call the car rental agency.,我会打电话给汽车租赁公司。,wǒhuì dǎdiànhuà gěi qìchē zūlìn gōngsī 。
I will call you as soon as possible.,我会尽快给您打电话。,wǒhuì jìnkuài gěi nín dǎdiànhuà 。
I will call you before going out.,出去之前我会打电话给你。,chūqù zhīqián wǒhuì dǎdiànhuà gěi nǐ 。
I will call you tonight.,今晚我会给你打电话。,jīnwǎn wǒhuì gěi nǐ dǎdiànhuà 。
I will call you.,我会打电话给你。,wǒhuì dǎdiànhuà gěi nǐ 。
I will do it as soon as possible.,我会尽快做的。,wǒhuì jìnkuài zuò de 。
I will look for his number.,我会去找他的电话号码。,wǒhuì qù zhǎo tā de diànhuàhàomǎ 。
I will look for their number.,我会寻找他们的号码。,wǒhuì xúnzhǎo tāmen de hàomǎ 。
I will make a movie of it.,我会把它拍成电影。,wǒhuì bǎ tā pāichéngdiànyǐng 。
I will no longer be here.,我不会再在这里了。,wǒ bùhuì zài zài zhèlǐ le 。
I will put myself in finery for the premiere.,我会盛装出席首映式。,wǒhuì shèngzhuāng chūxí shǒuyìngshì 。
I will put myself in finery for you.,我会为你盛装打扮。,wǒhuì wéi nǐ shèngzhuāng dǎbàn 。
I will send it to you before I leave.,我会在离开前发给你。,wǒhuì zài líkāi qián fāgěinǐ 。
I will send it to you before tonight.,今晚之前我会发给你。,jīnwǎn zhīqián wǒhuì fāgěinǐ 。
I will send it to you tonight.,今晚我会把它寄给你。,jīnwǎn wǒhuì bǎ tā jìgěi nǐ 。
I will send you a text.,我会给你发短信。,wǒhuì gěi nǐ fāduǎnxìn 。
I will stop here at the shop window first.,我会先停在商店橱窗前。,wǒhuì xiāntíng zài shāngdiàn chúchuāng qián 。
I will stop.,我会停下来。,wǒhuì tíngxiàlái 。
I will take care of it.,我会照顾它。,wǒhuì zhàogu tā 。
I wish I could believe the legend!,我希望我能相信这个传说！,wǒ xīwàng wǒnéng xiāngxìn zhège chuánshuō ！
I wish I could find my soulmate.,我希望我能找到我的灵魂伴侣。,wǒ xīwàng wǒnéng zhǎodào wǒ de línghún bànlǚ 。
I wish I could live in Italy!,我希望我能住在意大利！,wǒ xīwàng wǒnéng zhù zài yìdàlì ！
I wish I could participate in the festival!,我希望我能参加这个节日！,wǒ xīwàng wǒnéng cānjiā zhège jiérì ！
I wish I could participate in the game!,我希望我能参加比赛！,wǒ xīwàng wǒnéng cānjiā bǐsài ！
I wish I could participate in the premiere!,我希望我能参加首映式！,wǒ xīwàng wǒnéng cānjiā shǒuyìngshì ！
I wish I could participate too!,我希望我也能参加！,wǒ xīwàng wǒ yě néng cānjiā ！
I wish I could read Italian well!,我希望我能读好意大利语！,wǒ xīwàng wǒnéng dú hǎo yìdàlìyǔ ！
I wish I could speak Italian well!,我希望我能说一口流利的意大利语！,wǒ xīwàng wǒnéng shuō yīkǒu liúlì de yìdàlìyǔ ！
I wish it to you from the heart.,我发自内心地祝愿你。,wǒ fāzìnèixīn dì zhùyuàn nǐ 。
I won’t be at the party this weekend.,这个周末我不会参加聚会。,zhège zhōumò wǒ bùhuì cānjiā jùhuì 。
I work for an art magazine.,我在一家艺术杂志工作。,wǒ zài yījiā yìshù zázhì gōngzuò 。
I work in a bank.,我在银行工作。,wǒ zài yínháng gōngzuò 。
I would be glad if you could come.,如果你能来我会很高兴。,rúguǒ nǐ néng lái wǒhuì hěn gāoxìng 。
I would be in great shape.,我会保持良好的状态。,wǒhuì bǎochíliánghǎo de zhuàngtài 。
I would be leaving.,我要离开了。,wǒyào líkāi le 。
I would be pleased to eat with you.,我很乐意和你一起吃饭。,wǒ hěn lèyì hé nǐ yīqǐ chīfàn 。
I would be pleased to go to the restaurant with you.,我很高兴和你一起去餐厅。,wǒ hěn gāoxìng hé nǐ yīqǐ qù cāntīng 。
I would be pleased to have dinner with you.,我很高兴与您共进晚餐。,wǒ hěn gāoxìng yǔ nín gòng jìnwǎncān 。
I would be pleased to see Michelangelo’s statues.,我很高兴看到米开朗基罗的雕像。,wǒ hěn gāoxìng kàndào mǐkāilǎngjīluó de diāoxiàng 。
I would be pleased to see the Palio.,我很高兴看到赛马节。,wǒ hěn gāoxìng kàndào sàimǎjié 。
I would be pleased to see the very famous statues at the tower.,我很高兴看到塔上非常著名的雕像。,wǒ hěn gāoxìng kàndào tǎshàng fēicháng zhùmíng de diāoxiàng 。
I would do yoga and meditation to lose weight.,我会做瑜伽和冥想来减肥。,wǒhuì zuò yújiā hé míngxiǎng lái jiǎnféi 。
I would do yoga and meditation to relax.,我会做瑜伽和冥想来放松。,wǒhuì zuò yújiā hé míngxiǎng lái fàngsōng 。
I would do yoga and meditation twice a week.,我每周做两次瑜伽和冥想。,wǒ měizhōu zuò liǎngcì yújiā hé míngxiǎng 。
I would file a report.,我会提交一份报告。,wǒhuì tíjiāo yífèn bàogào 。
I would get a membership.,我会获得会员资格。,wǒhuì huòdé huìyuán zīgé 。
I would go there if I were under stress.,如果我有压力的话我会去那里。,rúguǒ wǒ yǒu yālì dehuà wǒhuì qù nàli 。
I would go there if I were you.,如果我是你，我就会去那里。,rúguǒ wǒ shì nǐ ， wǒ jiù huì qù nàli 。
I would go there to lose weight.,我会去那里减肥。,wǒhuì qù nàli jiǎnféi 。
I would go to the grand opening,我会去参加盛大的开幕式,wǒhuì qù cānjiā shèngdà de kāimùshì
I would have liked to come to the premiere.,我本来很想参加首映式。,wǒ běnlái hěnxiǎng cānjiā shǒuyìngshì 。
I would have liked to stay at home.,我本来想呆在家里。,wǒ běnlái xiǎng dāi zài jiālǐ 。
I would have preferred the Italian lifestyle.,我更喜欢意大利的生活方式。,wǒ gēng xǐhuan yìdàlì de shēnghuó fāngshì 。
I would have preferred to go out.,我宁愿出去。,wǒ nìngyuàn chūqù 。
I would have preferred to stay.,我宁愿留下来。,wǒ nìngyuàn liúxiàlái 。
I would have remained at home if I had been able to.,如果可以的话我会留在家里。,rúguǒ kěyǐ dehuà wǒhuì liúzài jiālǐ 。
I would have remained at home.,我会留在家里。,wǒhuì liúzài jiālǐ 。
I would like a beautiful hat.,我想要一顶漂亮的帽子。,wǒ xiǎngyào yīdǐng piàoliang de màozi 。
I would like some beer.,我想要一些啤酒。,wǒ xiǎngyào yīxiē píjiǔ 。
I would like to ask you another favor.,我还想请你帮个忙。,wǒ huán xiǎng qǐng nǐ bānggè máng 。
I would like to buy some gifts and some clothing.,我想买一些礼物和一些衣服。,wǒ xiǎng mǎi yīxiē lǐwù hé yīxiē yīfú 。
I would like to buy some gifts but I don’t like to wait in line.,我想买一些礼物，但我不喜欢排队。,wǒ xiǎng mǎi yīxiē lǐwù ， dàn wǒ bù xǐhuan páiduì 。
I would like to buy some wine.,我想买一些酒。,wǒ xiǎng mǎi yīxiē jiǔ 。
I would like to buy something.,我想买点东西。,wǒ xiǎng mǎidiǎn dōngxi 。
I would like to come to the premiere.,我想去首映式。,wǒ xiǎng qù shǒuyìngshì 。
I would like to do something.,我想做点什么。,wǒxiǎng zuòdiǎn shénme 。
I would like to drink something.,我想喝点东西。,wǒxiǎng hēdiǎn dōngxi 。
I would like to eat later.,我想稍后再吃。,wǒ xiǎng shāohòu zài chī 。
I would like to eat some appetizers.,我想吃一些开胃菜。,wǒ xiǎng chī yīxiē kāiwèicài 。
I would like to eat some vegetarian appetizers.,我想吃一些素食开胃菜。,wǒ xiǎng chī yīxiē sùshí kāiwèicài 。
I would like to go to Rome tomorrow.,我明天想去罗马。,wǒ míngtiān xiǎng qù luómǎ 。
I would like to go to visit a few friends.,我想去拜访几个朋友。,wǒ xiǎng qù bàifǎng jǐge péngyou 。
I would like to have dinner this evening.,我想今晚吃晚饭。,wǒ xiǎng jīnwǎn chīwǎnfàn 。
I would like to have dinner with you.,我想和你一起吃晚饭。,wǒ xiǎng hé nǐ yīqǐ chīwǎnfàn 。
I would like to have lunch.,我想吃午饭。,wǒ xiǎng chī wǔfàn 。
I would like to participate in the game!,我想参加比赛！,wǒ xiǎng cānjiā bǐsài ！
I would like to see her.,我想见见她。,wǒ xiǎng jiànjiàn tā 。
I would like to see the other relatives.,我想见见其他亲戚。,wǒ xiǎng jiànjiàn qítā qīnqi 。
I would like to see the weather forecast.,我想看天气预报。,wǒ xiǎng kàn tiānqìyùbào 。
I would like to see what happened.,我想看看发生了什么。,wǒ xiǎng kànkan fāshēng le shénme 。
I would like to see what you think of it.,我想看看你对此有何看法。,wǒ xiǎng kànkan nǐ duìcǐ yǒuhé kànfǎ 。
I would like to see your license.,我想看看你的执照。,wǒ xiǎng kànkan nǐ de zhízhào 。
I would like to taste the artichokes here.,我想尝尝这里的洋蓟。,wǒ xiǎng chángcháng zhèlǐ de yángjì 。
I would like to taste the wines.,我想品尝一下葡萄酒。,wǒ xiǎng pǐncháng yīxià pútaojiǔ 。
I would like to try on the pants on sale.,我想试穿特价的裤子。,wǒ xiǎng shìchuān tèjià de kùzi 。
I would like.,我想。,wǒ xiǎng 。
I would never have imagined that it was so dangerous.,我从来没有想到它是如此危险。,wǒ cónglái méiyǒu xiǎngdào tā shì rúcǐ wēixiǎn 。
I would never have imagined that we could make it.,我从来没想过我们能成功。,wǒ cónglái méixiǎng guò wǒmen néng chénggōng 。
I would not have come.,我不会来的。,wǒ bùhuì lái de 。
I would not have imagined that we could finish the excursion.,我没想到我们能完成这次旅行。,wǒ méixiǎngdào wǒmen néng wánchéng zhècì lǚxíng 。
I would say that you already feel better.,我想说你已经感觉好多了。,wǒ xiǎng shuō nǐ yǐjīng gǎnjué hǎoduō le 。
"I would say that you’re right, the sky is gray.",我想说你是对的，天空是灰色的。,wǒ xiǎng shuō nǐ shì duì de ， tiānkōng shì huīsè de 。
"I would very much like some mineral water, please.",我非常想要一些矿泉水。,wǒ fēicháng xiǎngyào yīxiē kuàngquánshuǐ 。
I would very much like to play tennis today.,我今天非常想打网球。,wǒ jīntiān fēicháng xiǎng dǎwǎngqiú 。
I wouldn’t know what to do.,我不知道该怎么办。,wǒ bù zhīdào gāi zěnmebàn 。
I wouldn’t know what to say.,我不知道该说什么。,wǒ bù zhīdào gāi shuō shénme 。
I wrote an article about the artist.,我写了一篇关于这位艺术家的文章。,wǒ xiě le yīpiān guānyú zhèwèi yìshùjiā de wénzhāng 。
I wrote an article on the exhibition.,我写了一篇关于展览的文章。,wǒ xiě le yīpiān guānyú zhǎnlǎn de wénzhāng 。
I wrote an article on the painter.,我写了一篇关于画家的文章。,wǒ xiě le yīpiān guānyú huàjiā de wénzhāng 。
I wrote an interesting article.,我写了一篇有趣的文章。,wǒ xiě le yīpiān yǒuqù de wénzhāng 。
I wrote that she will do an exhibition.,我写到她将举办一个展览。,wǒ xiě dào tā jiàng jǔbàn yīgè zhǎnlǎn 。
